Company,Description,Track,Contracted tons,Location,Pathways,Tons,Contracted value,Delivery timeline
Hafslund Celsio,"Hafslund Celsio is the largest supplier of district heating in Norway. They are proposing to retrofit the Klemetsrud waste-to-energy (WtE) facility with a CO₂ capture unit, followed by intermediate CO₂ storage at the Oslo harbor, ship transport to the North Sea, and geologic sequestration at Northern Lights.",Offtake-2025,99998,"Oslo, Norway",Biomass carbon removal & storage,99998,$31.7M,2029 – 2030
Eion,"Eion accelerates mineral weathering by mixing silicate rocks into soil. Their pelletized product is applied by farmers and ranchers to increase carbon in the soil, which over time makes its way into the ocean where it’s permanently stored as bicarbonate. Alongside their technology development, Eion is also conducting a novel soil study to improve the field's measurement of CO₂ uptake.",Offtake-2025,80890,"Princeton, NJ, US",Field weathering,78707,$32.9M,2027 – 2030
Phlair,"Phlair is developing an electrochemical approach to direct air capture that’s energy efficient and designed to work with intermittent renewable energy sources, like solar. This offtake will support Phlair’s first commercial-scale facility in Alberta, Canada.",Offtake-2025,47276,"Munich, Germany",Direct air capture,47001,$30.6M,2027 – 2030
CO280,"CO280 is retrofitting a pulp and paper (P&P) mill to capture and store CO₂ that was absorbed from the atmosphere in biomass (“biogenic CO₂""). Black liquor, a byproduct of the P&P process, is combusted in a recovery boiler to recycle chemicals and provide heat for the process. The team will install a CO₂ capture unit to separate out the biogenic CO₂ from the recovery boiler flue gas. The CO₂ is then compressed and transported to a nearby geologic sequestration site.",Offtake-2024,224446,"Vancouver, British Columbia, CA",Biomass carbon removal & storage,224446,$48.0M,2028 – 2030
CREW,"CREW is building specialized reactors to enhance natural weathering. The container-based system creates optimized conditions to speed up the weathering of alkaline minerals, and the discharged water stores CO₂ from wastewater safely and permanently as bicarbonate ions in the ocean. CREW’s system makes measuring CO₂ removed easier and can react with CO₂ from a variety of sources, including direct air capture and biomass systems, to maximize scale.",Offtake-2024,72492,"New Haven, CT, US",Field weathering,71877,$32.2M,2025 – 2030
Terradot,"Terradot spreads crushed basalt rock onto acidic and nutrient-depleted agricultural soils in Brazil. The rock material absorbs CO₂ from the air and soil, turning it into a form that enters runoff and permanent storage in the ocean.",Offtake-2024,89998,"São Paulo, Brazil",Field weathering,89998,$27.0M,2025 – 2029
CarbonRun,"CarbonRun adds crushed limestone to rivers to raise their pH, storing CO₂ as dissolved bicarbonate in the river and ultimately in the ocean. In addition to CO₂ removal, CarbonRun’s work also benefits river ecosystems locally by increasing the pH.",Offtake-2024,56753,"Halifax, Nova Scotia, CA",Ocean alkalinity enhancement,55442,$25.4M,2025 – 2029
Alithic,Alithic couples a solvent CO₂ capture process with a novel ion exchange method for efficient solvent regeneration. This process reacts CO₂ with industrial wastes and upgrades it into a material that can be resold for producing low-carbon concrete. Their approach has the potential for low-energy removal at scale and can be used flexibly across a wide range of alkaline feedstocks.,Prepurchase-2024,285,"Brooklyn, NY, US",Direct air capture,0,0,not specified
Alt Carbon,"Alt Carbon spreads basalt on tea plantations in the Himalayan foothills, where the hot, humid environment helps speed up the natural reaction with water to remove CO₂ and store it as durable bicarbonate. This project uses a novel verification approach using metal tracers in the soil to reduce the cost of measurement and further understanding of weathering in new geographies. Alt Carbon’s project also improves soil health and provides additional revenue for farmers in an industry threatened by rising costs and climate change.",Prepurchase-2024,1851,"Darjeeling, India",Field weathering,0,0,not specified
Anvil,Anvil contacts highly reactive alkaline minerals with atmospheric CO₂ in a low-energy system that speeds up the mineralization process. The resulting solid carbonate minerals are then stored durably on-site and the removal can be easily measured. The team is targeting a promising feedstock and accelerating its broad use for removal at scale.,Prepurchase-2024,357,"New York, NY, US",Mineralization,0,0,not specified
Capture6,"Capture6 uses electricity and saltwater in an electrochemical system to remove CO₂ while eliminating industrial waste streams. They use proven technologies and can flexibly integrate across a range of industrial processes to generate co-products like clean metals or freshwater, increasing the likelihood they can scale quickly and cheaply. This project also accelerates research around using low-carbon chemical byproducts productively.",Prepurchase-2024,1000,"Berkeley, CA, US",Direct air capture,0,0,not specified
Exterra Carbon Solutions,"Exterra Carbon Solutions uses a thermochemical process to transform mine waste into fast-dissolving alkaline minerals that can be used to remove carbon in a variety of ways. For their pilot, they are partnering with Planetary to mix their material into coastal outfalls where it draws down atmospheric CO₂ and is stored durably in the form of oceanic bicarbonate.  Their process cleans up mine sites by eliminating asbestos residues and extracts valuable low carbon metals like nickel that can be sold to reduce the cost of removal.",Prepurchase-2024,1050,"Montreal, Quebec, CA",Mineralization,0,0,not specified
